server,jreVersion,tcNativeVersion,clientAuth,serverCert,clientCert,cipher,resumption,enabledExtendedMasterSecret,openSSLClientVersion,page,connections/duration,duration,bytes/connection
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,true,1.0.2p,-,50543,31,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,true,1.0.2p,huge,8,61,91750522
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,true,1.0.2p,large,1,60,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,true,1.0.2p,medium,13,60,484084
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,true,1.0.2p,small,20,60,9857
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,true,1.1.1,-,16348,33,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,true,1.1.1,huge,1,60,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,true,1.1.1,large,1,60,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,true,1.1.1,medium,2,60,262212
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,true,1.1.1,small,5,60,8300
tls-tomcat,10,-,need,server,client,-,new,true,1.0.2p,-,1716,31,0
tls-tomcat,10,-,need,server,client,-,new,true,1.0.2p,huge,1679,31,0
tls-tomcat,10,-,need,server,client,-,new,true,1.0.2p,large,1681,31,0
tls-tomcat,10,-,need,server,client,-,new,true,1.0.2p,medium,1681,31,0
tls-tomcat,10,-,need,server,client,-,new,true,1.0.2p,small,1681,31,0
tls-tomcat,10,-,need,server,client,-,new,true,1.1.1,-,1617,31,0
tls-tomcat,10,-,need,server,client,-,new,true,1.1.1,huge,1651,31,0
tls-tomcat,10,-,need,server,client,-,new,true,1.1.1,large,1636,31,0
tls-tomcat,10,-,need,server,client,-,new,true,1.1.1,medium,1645,31,0
